dx_bin,dy_bin,cnt,bin_p,pass_p,t
"(50, 60]","(-40, -30]",0.0,0.0,0.0,1
"(50, 60]","(-30, -20]",0.0,0.0,0.0,1
"(50, 60]","(-20, -10]",0.0,0.0,0.0,1
"(50, 60]","(-10, 0]",0.0,0.0,0.0,1
"(50, 60]","(0, 10]",0.0,0.0,0.0,1
"(50, 60]","(10, 20]",0.0,0.0,0.0,1
"(50, 60]","(20, 30]",0.0,0.0,0.0,1
"(50, 60]","(30, 40]",0.0,0.0,0.0,1
"(60, 70]","(-40, -30]",0.0,0.0,0.0,1
"(60, 70]","(-30, -20]",0.0,0.0,0.0,1
"(60, 70]","(-20, -10]",0.0,0.0,0.0,1
"(60, 70]","(-10, 0]",0.0,0.0,0.0,1
"(60, 70]","(0, 10]",0.0,0.0,0.0,1
"(60, 70]","(10, 20]",0.0,0.0,0.0,1
"(60, 70]","(20, 30]",0.0,0.0,0.0,1
"(60, 70]","(30, 40]",0.0,0.0,0.0,1
"(-10, 0]","(-40, -30]",0.0,0.0,0.0,2
"(-10, 0]","(-30, -20]",0.0,0.0,0.0,2
"(-10, 0]","(-20, -10]",1.0,0.004739336492890996,4.739336492890996e-05,2
"(-10, 0]","(-10, 0]",40.0,0.1895734597156398,0.001895734597156398,2
"(-10, 0]","(0, 10]",38.0,0.18009478672985782,0.0018009478672985782,2
"(-10, 0]","(10, 20]",11.0,0.052132701421800945,0.0005213270142180094,2
"(-10, 0]","(20, 30]",0.0,0.0,0.0,2
"(-10, 0]","(30, 40]",0.0,0.0,0.0,2
"(0, 10]","(-40, -30]",0.0,0.0,0.0,2
"(0, 10]","(-30, -20]",0.0,0.0,0.0,2
"(0, 10]","(-20, -10]",21.0,0.0995260663507109,0.000995260663507109,2
"(0, 10]","(-10, 0]",18.0,0.08530805687203792,0.0008530805687203793,2
"(0, 10]","(0, 10]",26.0,0.12322274881516587,0.0012322274881516587,2
"(0, 10]","(10, 20]",52.0,0.24644549763033174,0.0024644549763033173,2
"(0, 10]","(20, 30]",2.0,0.009478672985781991,9.478672985781992e-05,2
"(0, 10]","(30, 40]",0.0,0.0,0.0,2
"(10, 20]","(-40, -30]",0.0,0.0,0.0,2
"(10, 20]","(-30, -20]",0.0,0.0,0.0,2
"(10, 20]","(-20, -10]",0.0,0.0,0.0,2
"(10, 20]","(-10, 0]",0.0,0.0,0.0,2
"(10, 20]","(0, 10]",0.0,0.0,0.0,2
"(10, 20]","(10, 20]",2.0,0.009478672985781991,9.478672985781992e-05,2
"(10, 20]","(20, 30]",0.0,0.0,0.0,2
"(10, 20]","(30, 40]",0.0,0.0,0.0,2
"(20, 30]","(-40, -30]",0.0,0.0,0.0,2
"(20, 30]","(-30, -20]",0.0,0.0,0.0,2
"(20, 30]","(-20, -10]",0.0,0.0,0.0,2
"(20, 30]","(-10, 0]",0.0,0.0,0.0,2
"(20, 30]","(0, 10]",0.0,0.0,0.0,2
"(20, 30]","(10, 20]",0.0,0.0,0.0,2
"(20, 30]","(20, 30]",0.0,0.0,0.0,2
"(20, 30]","(30, 40]",0.0,0.0,0.0,2
"(30, 40]","(-40, -30]",0.0,0.0,0.0,2
"(30, 40]","(-30, -20]",0.0,0.0,0.0,2
"(30, 40]","(-20, -10]",0.0,0.0,0.0,2
"(30, 40]","(-10, 0]",0.0,0.0,0.0,2
"(30, 40]","(0, 10]",0.0,0.0,0.0,2
"(30, 40]","(10, 20]",0.0,0.0,0.0,2
"(30, 40]","(20, 30]",0.0,0.0,0.0,2
"(30, 40]","(30, 40]",0.0,0.0,0.0,2
"(40, 50]","(-40, -30]",0.0,0.0,0.0,2
"(40, 50]","(-30, -20]",0.0,0.0,0.0,2
"(40, 50]","(-20, -10]",0.0,0.0,0.0,2
"(40, 50]","(-10, 0]",0.0,0.0,0.0,2
"(40, 50]","(0, 10]",0.0,0.0,0.0,2
"(40, 50]","(10, 20]",0.0,0.0,0.0,2
"(40, 50]","(20, 30]",0.0,0.0,0.0,2
"(40, 50]","(30, 40]",0.0,0.0,0.0,2
"(50, 60]","(-40, -30]",0.0,0.0,0.0,2
"(50, 60]","(-30, -20]",0.0,0.0,0.0,2
"(50, 60]","(-20, -10]",0.0,0.0,0.0,2
"(50, 60]","(-10, 0]",0.0,0.0,0.0,2
"(50, 60]","(0, 10]",0.0,0.0,0.0,2
"(50, 60]","(10, 20]",0.0,0.0,0.0,2
"(50, 60]","(20, 30]",0.0,0.0,0.0,2
"(50, 60]","(30, 40]",0.0,0.0,0.0,2
"(60, 70]","(-40, -30]",0.0,0.0,0.0,2
"(60, 70]","(-30, -20]",0.0,0.0,0.0,2
"(60, 70]","(-20, -10]",0.0,0.0,0.0,2
"(60, 70]","(-10, 0]",0.0,0.0,0.0,2
"(60, 70]","(0, 10]",0.0,0.0,0.0,2
"(60, 70]","(10, 20]",0.0,0.0,0.0,2
"(60, 70]","(20, 30]",0.0,0.0,0.0,2
"(60, 70]","(30, 40]",0.0,0.0,0.0,2
"(-10, 0]","(-40, -30]",0.0,0.0,0.0,3
"(-10, 0]","(-30, -20]",0.0,0.0,0.0,3
"(-10, 0]","(-20, -10]",1.0,0.004739336492890996,4.739336492890996e-05,3
"(-10, 0]","(-10, 0]",40.0,0.1895734597156398,0.001895734597156398,3
"(-10, 0]","(0, 10]",38.0,0.18009478672985782,0.0018009478672985782,3
"(-10, 0]","(10, 20]",11.0,0.052132701421800945,0.0005213270142180094,3
"(-10, 0]","(20, 30]",0.0,0.0,0.0,3
"(-10, 0]","(30, 40]",0.0,0.0,0.0,3
"(0, 10]","(-40, -30]",0.0,0.0,0.0,3
"(0, 10]","(-30, -20]",0.0,0.0,0.0,3
"(0, 10]","(-20, -10]",21.0,0.0995260663507109,0.000995260663507109,3
"(0, 10]","(-10, 0]",18.0,0.08530805687203792,0.0008530805687203793,3
"(0, 10]","(0, 10]",26.0,0.12322274881516587,0.0012322274881516587,3
"(0, 10]","(10, 20]",52.0,0.24644549763033174,0.0024644549763033173,3
"(0, 10]","(20, 30]",2.0,0.009478672985781991,9.478672985781992e-05,3
"(0, 10]","(30, 40]",0.0,0.0,0.0,3
"(10, 20]","(-40, -30]",0.0,0.0,0.0,3
"(10, 20]","(-30, -20]",0.0,0.0,0.0,3
"(10, 20]","(-20, -10]",0.0,0.0,0.0,3
"(10, 20]","(-10, 0]",0.0,0.0,0.0,3
"(10, 20]","(0, 10]",0.0,0.0,0.0,3
"(10, 20]","(10, 20]",2.0,0.009478672985781991,9.478672985781992e-05,3
"(10, 20]","(20, 30]",0.0,0.0,0.0,3
"(10, 20]","(30, 40]",0.0,0.0,0.0,3
"(20, 30]","(-40, -30]",0.0,0.0,0.0,3
"(20, 30]","(-30, -20]",0.0,0.0,0.0,3
"(20, 30]","(-20, -10]",0.0,0.0,0.0,3
"(20, 30]","(-10, 0]",0.0,0.0,0.0,3
"(20, 30]","(0, 10]",0.0,0.0,0.0,3
"(20, 30]","(10, 20]",0.0,0.0,0.0,3
"(20, 30]","(20, 30]",0.0,0.0,0.0,3
"(20, 30]","(30, 40]",0.0,0.0,0.0,3
"(30, 40]","(-40, -30]",0.0,0.0,0.0,3
"(30, 40]","(-30, -20]",0.0,0.0,0.0,3
"(30, 40]","(-20, -10]",0.0,0.0,0.0,3
"(30, 40]","(-10, 0]",0.0,0.0,0.0,3
"(30, 40]","(0, 10]",0.0,0.0,0.0,3
"(30, 40]","(10, 20]",0.0,0.0,0.0,3
"(30, 40]","(20, 30]",0.0,0.0,0.0,3
"(30, 40]","(30, 40]",0.0,0.0,0.0,3
"(40, 50]","(-40, -30]",0.0,0.0,0.0,3
"(40, 50]","(-30, -20]",0.0,0.0,0.0,3
"(40, 50]","(-20, -10]",0.0,0.0,0.0,3
"(40, 50]","(-10, 0]",0.0,0.0,0.0,3
"(40, 50]","(0, 10]",0.0,0.0,0.0,3
"(40, 50]","(10, 20]",0.0,0.0,0.0,3
"(40, 50]","(20, 30]",0.0,0.0,0.0,3
"(40, 50]","(30, 40]",0.0,0.0,0.0,3
"(50, 60]","(-40, -30]",0.0,0.0,0.0,3
"(50, 60]","(-30, -20]",0.0,0.0,0.0,3
"(50, 60]","(-20, -10]",0.0,0.0,0.0,3
"(50, 60]","(-10, 0]",0.0,0.0,0.0,3
"(50, 60]","(0, 10]",0.0,0.0,0.0,3
"(50, 60]","(10, 20]",0.0,0.0,0.0,3
"(50, 60]","(20, 30]",0.0,0.0,0.0,3
"(50, 60]","(30, 40]",0.0,0.0,0.0,3
"(60, 70]","(-40, -30]",0.0,0.0,0.0,3
"(60, 70]","(-30, -20]",0.0,0.0,0.0,3
"(60, 70]","(-20, -10]",0.0,0.0,0.0,3
"(60, 70]","(-10, 0]",0.0,0.0,0.0,3
"(60, 70]","(0, 10]",0.0,0.0,0.0,3
"(60, 70]","(10, 20]",0.0,0.0,0.0,3
"(60, 70]","(20, 30]",0.0,0.0,0.0,3
"(60, 70]","(30, 40]",0.0,0.0,0.0,3
"(-10, 0]","(-40, -30]",0.0,0.0,0.0,4
"(-10, 0]","(-30, -20]",0.0,0.0,0.0,4
"(-10, 0]","(-20, -10]",1.0,0.004739336492890996,4.739336492890996e-05,4
"(-10, 0]","(-10, 0]",40.0,0.1895734597156398,0.001895734597156398,4
"(-10, 0]","(0, 10]",38.0,0.18009478672985782,0.0018009478672985782,4
"(-10, 0]","(10, 20]",11.0,0.052132701421800945,0.0005213270142180094,4
"(-10, 0]","(20, 30]",0.0,0.0,0.0,4
"(-10, 0]","(30, 40]",0.0,0.0,0.0,4
"(0, 10]","(-40, -30]",0.0,0.0,0.0,4
"(0, 10]","(-30, -20]",0.0,0.0,0.0,4
"(0, 10]","(-20, -10]",21.0,0.0995260663507109,0.000995260663507109,4
"(0, 10]","(-10, 0]",18.0,0.08530805687203792,0.0008530805687203793,4
"(0, 10]","(0, 10]",26.0,0.12322274881516587,0.0012322274881516587,4
"(0, 10]","(10, 20]",52.0,0.24644549763033174,0.0024644549763033173,4
"(0, 10]","(20, 30]",2.0,0.009478672985781991,9.478672985781992e-05,4
"(0, 10]","(30, 40]",0.0,0.0,0.0,4
"(10, 20]","(-40, -30]",0.0,0.0,0.0,4
"(10, 20]","(-30, -20]",0.0,0.0,0.0,4
"(10, 20]","(-20, -10]",0.0,0.0,0.0,4
"(10, 20]","(-10, 0]",0.0,0.0,0.0,4
"(10, 20]","(0, 10]",0.0,0.0,0.0,4
"(10, 20]","(10, 20]",2.0,0.009478672985781991,9.478672985781992e-05,4
"(10, 20]","(20, 30]",0.0,0.0,0.0,4
"(10, 20]","(30, 40]",0.0,0.0,0.0,4
"(20, 30]","(-40, -30]",0.0,0.0,0.0,4
"(20, 30]","(-30, -20]",0.0,0.0,0.0,4
"(20, 30]","(-20, -10]",0.0,0.0,0.0,4
"(20, 30]","(-10, 0]",0.0,0.0,0.0,4
"(20, 30]","(0, 10]",0.0,0.0,0.0,4
"(20, 30]","(10, 20]",0.0,0.0,0.0,4
"(20, 30]","(20, 30]",0.0,0.0,0.0,4
"(20, 30]","(30, 40]",0.0,0.0,0.0,4
"(30, 40]","(-40, -30]",0.0,0.0,0.0,4
"(30, 40]","(-30, -20]",0.0,0.0,0.0,4
"(30, 40]","(-20, -10]",0.0,0.0,0.0,4
"(30, 40]","(-10, 0]",0.0,0.0,0.0,4
"(30, 40]","(0, 10]",0.0,0.0,0.0,4
"(30, 40]","(10, 20]",0.0,0.0,0.0,4
"(30, 40]","(20, 30]",0.0,0.0,0.0,4
"(30, 40]","(30, 40]",0.0,0.0,0.0,4
"(40, 50]","(-40, -30]",0.0,0.0,0.0,4
"(40, 50]","(-30, -20]",0.0,0.0,0.0,4
"(40, 50]","(-20, -10]",0.0,0.0,0.0,4
"(40, 50]","(-10, 0]",0.0,0.0,0.0,4
"(40, 50]","(0, 10]",0.0,0.0,0.0,4
"(40, 50]","(10, 20]",0.0,0.0,0.0,4
"(40, 50]","(20, 30]",0.0,0.0,0.0,4
"(40, 50]","(30, 40]",0.0,0.0,0.0,4
"(50, 60]","(-40, -30]",0.0,0.0,0.0,4
"(50, 60]","(-30, -20]",0.0,0.0,0.0,4
"(50, 60]","(-20, -10]",0.0,0.0,0.0,4
"(50, 60]","(-10, 0]",0.0,0.0,0.0,4
"(50, 60]","(0, 10]",0.0,0.0,0.0,4
"(50, 60]","(10, 20]",0.0,0.0,0.0,4
"(50, 60]","(20, 30]",0.0,0.0,0.0,4
"(50, 60]","(30, 40]",0.0,0.0,0.0,4
"(60, 70]","(-40, -30]",0.0,0.0,0.0,4
"(60, 70]","(-30, -20]",0.0,0.0,0.0,4
"(60, 70]","(-20, -10]",0.0,0.0,0.0,4
"(60, 70]","(-10, 0]",0.0,0.0,0.0,4
"(60, 70]","(0, 10]",0.0,0.0,0.0,4
"(60, 70]","(10, 20]",0.0,0.0,0.0,4
"(60, 70]","(20, 30]",0.0,0.0,0.0,4
"(60, 70]","(30, 40]",0.0,0.0,0.0,4
"(-10, 0]","(-40, -30]",0.0,0.0,0.0,5
"(-10, 0]","(-30, -20]",0.0,0.0,0.0,5
"(-10, 0]","(-20, -10]",1.0,0.004739336492890996,4.739336492890996e-05,5
"(-10, 0]","(-10, 0]",40.0,0.1895734597156398,0.001895734597156398,5
"(-10, 0]","(0, 10]",38.0,0.18009478672985782,0.0018009478672985782,5
"(-10, 0]","(10, 20]",11.0,0.052132701421800945,0.0005213270142180094,5
"(-10, 0]","(20, 30]",0.0,0.0,0.0,5
"(-10, 0]","(30, 40]",0.0,0.0,0.0,5
"(0, 10]","(-40, -30]",0.0,0.0,0.0,5
"(0, 10]","(-30, -20]",0.0,0.0,0.0,5
"(0, 10]","(-20, -10]",21.0,0.0995260663507109,0.000995260663507109,5
"(0, 10]","(-10, 0]",18.0,0.08530805687203792,0.0008530805687203793,5
"(0, 10]","(0, 10]",26.0,0.12322274881516587,0.0012322274881516587,5
"(0, 10]","(10, 20]",52.0,0.24644549763033174,0.0024644549763033173,5
"(0, 10]","(20, 30]",2.0,0.009478672985781991,9.478672985781992e-05,5
"(0, 10]","(30, 40]",0.0,0.0,0.0,5
"(10, 20]","(-40, -30]",0.0,0.0,0.0,5
"(10, 20]","(-30, -20]",0.0,0.0,0.0,5
"(10, 20]","(-20, -10]",0.0,0.0,0.0,5
"(10, 20]","(-10, 0]",0.0,0.0,0.0,5
"(10, 20]","(0, 10]",0.0,0.0,0.0,5
"(10, 20]","(10, 20]",2.0,0.009478672985781991,9.478672985781992e-05,5
"(10, 20]","(20, 30]",0.0,0.0,0.0,5
"(10, 20]","(30, 40]",0.0,0.0,0.0,5
"(20, 30]","(-40, -30]",0.0,0.0,0.0,5
"(20, 30]","(-30, -20]",0.0,0.0,0.0,5
"(20, 30]","(-20, -10]",0.0,0.0,0.0,5
"(20, 30]","(-10, 0]",0.0,0.0,0.0,5
"(20, 30]","(0, 10]",0.0,0.0,0.0,5
"(20, 30]","(10, 20]",0.0,0.0,0.0,5
"(20, 30]","(20, 30]",0.0,0.0,0.0,5
"(20, 30]","(30, 40]",0.0,0.0,0.0,5
"(30, 40]","(-40, -30]",0.0,0.0,0.0,5
"(30, 40]","(-30, -20]",0.0,0.0,0.0,5
"(30, 40]","(-20, -10]",0.0,0.0,0.0,5
"(30, 40]","(-10, 0]",0.0,0.0,0.0,5
"(30, 40]","(0, 10]",0.0,0.0,0.0,5
"(30, 40]","(10, 20]",0.0,0.0,0.0,5
"(30, 40]","(20, 30]",0.0,0.0,0.0,5
"(30, 40]","(30, 40]",0.0,0.0,0.0,5
"(40, 50]","(-40, -30]",0.0,0.0,0.0,5
"(40, 50]","(-30, -20]",0.0,0.0,0.0,5
"(40, 50]","(-20, -10]",0.0,0.0,0.0,5
"(40, 50]","(-10, 0]",0.0,0.0,0.0,5
"(40, 50]","(0, 10]",0.0,0.0,0.0,5
"(40, 50]","(10, 20]",0.0,0.0,0.0,5
"(40, 50]","(20, 30]",0.0,0.0,0.0,5
"(40, 50]","(30, 40]",0.0,0.0,0.0,5
"(50, 60]","(-40, -30]",0.0,0.0,0.0,5
"(50, 60]","(-30, -20]",0.0,0.0,0.0,5
"(50, 60]","(-20, -10]",0.0,0.0,0.0,5
"(50, 60]","(-10, 0]",0.0,0.0,0.0,5
"(50, 60]","(0, 10]",0.0,0.0,0.0,5
"(50, 60]","(10, 20]",0.0,0.0,0.0,5
"(50, 60]","(20, 30]",0.0,0.0,0.0,5
"(50, 60]","(30, 40]",0.0,0.0,0.0,5
"(60, 70]","(-40, -30]",0.0,0.0,0.0,5
"(60, 70]","(-30, -20]",0.0,0.0,0.0,5
"(60, 70]","(-20, -10]",0.0,0.0,0.0,5
"(60, 70]","(-10, 0]",0.0,0.0,0.0,5
"(60, 70]","(0, 10]",0.0,0.0,0.0,5
"(60, 70]","(10, 20]",0.0,0.0,0.0,5
"(60, 70]","(20, 30]",0.0,0.0,0.0,5
"(60, 70]","(30, 40]",0.0,0.0,0.0,5
"(-10, 0]","(-40, -30]",0.0,0.0,0.0,6
"(-10, 0]","(-30, -20]",0.0,0.0,0.0,6
"(-10, 0]","(-20, -10]",1.0,0.004901960784313725,4.901960784313725e-05,6
"(-10, 0]","(-10, 0]",37.0,0.18137254901960784,0.0018137254901960784,6
"(-10, 0]","(0, 10]",36.0,0.17647058823529413,0.0017647058823529412,6
"(-10, 0]","(10, 20]",11.0,0.05392156862745098,0.0005392156862745099,6
"(-10, 0]","(20, 30]",0.0,0.0,0.0,6
"(-10, 0]","(30, 40]",0.0,0.0,0.0,6
"(0, 10]","(-40, -30]",0.0,0.0,0.0,6
"(0, 10]","(-30, -20]",0.0,0.0,0.0,6
"(0, 10]","(-20, -10]",21.0,0.10294117647058823,0.0010294117647058822,6
"(0, 10]","(-10, 0]",17.0,0.08333333333333333,0.0008333333333333333,6
"(0, 10]","(0, 10]",25.0,0.12254901960784313,0.0012254901960784314,6
"(0, 10]","(10, 20]",52.0,0.2549019607843137,0.002549019607843137,6
"(0, 10]","(20, 30]",2.0,0.00980392156862745,9.80392156862745e-05,6
"(0, 10]","(30, 40]",0.0,0.0,0.0,6
"(10, 20]","(-40, -30]",0.0,0.0,0.0,6
"(10, 20]","(-30, -20]",0.0,0.0,0.0,6
"(10, 20]","(-20, -10]",0.0,0.0,0.0,6
"(10, 20]","(-10, 0]",0.0,0.0,0.0,6
"(10, 20]","(0, 10]",0.0,0.0,0.0,6
"(10, 20]","(10, 20]",2.0,0.00980392156862745,9.80392156862745e-05,6
"(10, 20]","(20, 30]",0.0,0.0,0.0,6
"(10, 20]","(30, 40]",0.0,0.0,0.0,6
"(20, 30]","(-40, -30]",0.0,0.0,0.0,6
"(20, 30]","(-30, -20]",0.0,0.0,0.0,6
"(20, 30]","(-20, -10]",0.0,0.0,0.0,6
"(20, 30]","(-10, 0]",0.0,0.0,0.0,6
"(20, 30]","(0, 10]",0.0,0.0,0.0,6
"(20, 30]","(10, 20]",0.0,0.0,0.0,6
"(20, 30]","(20, 30]",0.0,0.0,0.0,6
"(20, 30]","(30, 40]",0.0,0.0,0.0,6
"(30, 40]","(-40, -30]",0.0,0.0,0.0,6
"(30, 40]","(-30, -20]",0.0,0.0,0.0,6
"(30, 40]","(-20, -10]",0.0,0.0,0.0,6
"(30, 40]","(-10, 0]",0.0,0.0,0.0,6
"(30, 40]","(0, 10]",0.0,0.0,0.0,6
"(30, 40]","(10, 20]",0.0,0.0,0.0,6
"(30, 40]","(20, 30]",0.0,0.0,0.0,6
"(30, 40]","(30, 40]",0.0,0.0,0.0,6
"(40, 50]","(-40, -30]",0.0,0.0,0.0,6
"(40, 50]","(-30, -20]",0.0,0.0,0.0,6
"(40, 50]","(-20, -10]",0.0,0.0,0.0,6
"(40, 50]","(-10, 0]",0.0,0.0,0.0,6
"(40, 50]","(0, 10]",0.0,0.0,0.0,6
"(40, 50]","(10, 20]",0.0,0.0,0.0,6
"(40, 50]","(20, 30]",0.0,0.0,0.0,6
"(40, 50]","(30, 40]",0.0,0.0,0.0,6
"(50, 60]","(-40, -30]",0.0,0.0,0.0,6
"(50, 60]","(-30, -20]",0.0,0.0,0.0,6
"(50, 60]","(-20, -10]",0.0,0.0,0.0,6
"(50, 60]","(-10, 0]",0.0,0.0,0.0,6
"(50, 60]","(0, 10]",0.0,0.0,0.0,6
"(50, 60]","(10, 20]",0.0,0.0,0.0,6
"(50, 60]","(20, 30]",0.0,0.0,0.0,6
"(50, 60]","(30, 40]",0.0,0.0,0.0,6
"(60, 70]","(-40, -30]",0.0,0.0,0.0,6
"(60, 70]","(-30, -20]",0.0,0.0,0.0,6
"(60, 70]","(-20, -10]",0.0,0.0,0.0,6
"(60, 70]","(-10, 0]",0.0,0.0,0.0,6
"(60, 70]","(0, 10]",0.0,0.0,0.0,6
"(60, 70]","(10, 20]",0.0,0.0,0.0,6
"(60, 70]","(20, 30]",0.0,0.0,0.0,6
"(60, 70]","(30, 40]",0.0,0.0,0.0,6
"(-10, 0]","(-40, -30]",0.0,0.0,0.0,7
"(-10, 0]","(-30, -20]",0.0,0.0,0.0,7
"(-10, 0]","(-20, -10]",1.0,0.004901960784313725,4.901960784313725e-05,7
"(-10, 0]","(-10, 0]",37.0,0.18137254901960784,0.0018137254901960784,7
"(-10, 0]","(0, 10]",36.0,0.17647058823529413,0.0017647058823529412,7
"(-10, 0]","(10, 20]",11.0,0.05392156862745098,0.0005392156862745099,7
"(-10, 0]","(20, 30]",0.0,0.0,0.0,7
"(-10, 0]","(30, 40]",0.0,0.0,0.0,7
"(0, 10]","(-40, -30]",0.0,0.0,0.0,7
"(0, 10]","(-30, -20]",0.0,0.0,0.0,7
"(0, 10]","(-20, -10]",21.0,0.10294117647058823,0.0010294117647058822,7
"(0, 10]","(-10, 0]",17.0,0.08333333333333333,0.0008333333333333333,7
"(0, 10]","(0, 10]",25.0,0.12254901960784313,0.0012254901960784314,7
"(0, 10]","(10, 20]",52.0,0.2549019607843137,0.002549019607843137,7
"(0, 10]","(20, 30]",2.0,0.00980392156862745,9.80392156862745e-05,7
"(0, 10]","(30, 40]",0.0,0.0,0.0,7
"(10, 20]","(-40, -30]",0.0,0.0,0.0,7
"(10, 20]","(-30, -20]",0.0,0.0,0.0,7
"(10, 20]","(-20, -10]",0.0,0.0,0.0,7
"(10, 20]","(-10, 0]",0.0,0.0,0.0,7
"(10, 20]","(0, 10]",0.0,0.0,0.0,7
"(10, 20]","(10, 20]",2.0,0.00980392156862745,9.80392156862745e-05,7
"(10, 20]","(20, 30]",0.0,0.0,0.0,7
"(10, 20]","(30, 40]",0.0,0.0,0.0,7
"(20, 30]","(-40, -30]",0.0,0.0,0.0,7
"(20, 30]","(-30, -20]",0.0,0.0,0.0,7
"(20, 30]","(-20, -10]",0.0,0.0,0.0,7
"(20, 30]","(-10, 0]",0.0,0.0,0.0,7
"(20, 30]","(0, 10]",0.0,0.0,0.0,7
"(20, 30]","(10, 20]",0.0,0.0,0.0,7
"(20, 30]","(20, 30]",0.0,0.0,0.0,7
"(20, 30]","(30, 40]",0.0,0.0,0.0,7
"(30, 40]","(-40, -30]",0.0,0.0,0.0,7
"(30, 40]","(-30, -20]",0.0,0.0,0.0,7
"(30, 40]","(-20, -10]",0.0,0.0,0.0,7
"(30, 40]","(-10, 0]",0.0,0.0,0.0,7
"(30, 40]","(0, 10]",0.0,0.0,0.0,7
"(30, 40]","(10, 20]",0.0,0.0,0.0,7
"(30, 40]","(20, 30]",0.0,0.0,0.0,7
"(30, 40]","(30, 40]",0.0,0.0,0.0,7
"(40, 50]","(-40, -30]",0.0,0.0,0.0,7
"(40, 50]","(-30, -20]",0.0,0.0,0.0,7
"(40, 50]","(-20, -10]",0.0,0.0,0.0,7
"(40, 50]","(-10, 0]",0.0,0.0,0.0,7
"(40, 50]","(0, 10]",0.0,0.0,0.0,7
"(40, 50]","(10, 20]",0.0,0.0,0.0,7
"(40, 50]","(20, 30]",0.0,0.0,0.0,7
"(40, 50]","(30, 40]",0.0,0.0,0.0,7
"(50, 60]","(-40, -30]",0.0,0.0,0.0,7
"(50, 60]","(-30, -20]",0.0,0.0,0.0,7
"(50, 60]","(-20, -10]",0.0,0.0,0.0,7
"(50, 60]","(-10, 0]",0.0,0.0,0.0,7
"(50, 60]","(0, 10]",0.0,0.0,0.0,7
"(50, 60]","(10, 20]",0.0,0.0,0.0,7
"(50, 60]","(20, 30]",0.0,0.0,0.0,7
"(50, 60]","(30, 40]",0.0,0.0,0.0,7
"(60, 70]","(-40, -30]",0.0,0.0,0.0,7
"(60, 70]","(-30, -20]",0.0,0.0,0.0,7
"(60, 70]","(-20, -10]",0.0,0.0,0.0,7
"(60, 70]","(-10, 0]",0.0,0.0,0.0,7
